link,brand,series,size,price,info
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-02-Retinol-Skwalan-Niacynamid-zmarszczki-30,402264,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 0,2% Retinol, Skwalan, Niacynamid, zmarszczki, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-peel-Shot-15-Kwas-glikolowy-Glukonolakton-Kwas-migdalo,411035,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","peel Shot 15% Kwas glikolowy, Glukonolakton, Kwas migdałowy, wygładzenie, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-2-kwas-hialuronowy-trehaloza-witamina-B5-na,396447,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 2% kwas hialuronowy, trehaloza, witamina B5, nawilżenia, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-15-Niacynamid-Cynk-Kwas-salicylowy-niedosko,396450,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 15% Niacynamid, Cynk, Kwas salicylowy, niedoskonałości, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-15-Witaminy-C-Cg-Resweratrol-Kwas-ferulowy-,411034,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 15% Witaminy C+Cg, Resweratrol, Kwas ferulowy, rozświetlenie, "
"/Produkt/Serum/Lirene-ultra-naprawcze-serum-do-twarzy-dekoltu-i-szyi-na-dzien-i-na-noc-30-ml,390420,9225",LIRENE,@NO_NAME@,30 ml,"27,99 zł","ultra-naprawcze serum do twarzy, dekoltu i szyi, na dzień i na noc, "
"/Produkt/Serum/Perfecta-B3-Forte-odmladzajace-serum-do-twarzy-na-dzien-i-na-noc-kwas-hialuronowy-30-ml,369988,9225",PERFECTA,B3 Forte,30 ml,"33,99 zł","odmładzające serum do twarzy na dzień i na noc kwas hialuronowy, "
"/Produkt/Serum/Isana-Pro-Kollagen-Energy-serum-do-twarzy-30-ml,385792,9225",ISANA,Pro-Kollagen Energy,30 ml,"23,99 zł","serum do twarzy , "
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-traneksamowym-25-30-ml,370199,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy z kwasem traneksamowym 2,5%, "
"/Produkt/Serum/ME-serum-do-twarzy-SPF-30-30-ml,370204,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy SPF 30, "
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-poliglutaminowym-1-30-ml,370201,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy z kwasem poliglutaminowym 1%, "
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-hialuronowym-2-30-ml,370191,9225",ME+,@NO_NAME@,30 ml,"27,99 zł","serum do twarzy z kwasem hialuronowym 2%, "
"/Produkt/Serum/Isana-Lift-Triple-serum-z-peptydami-30-ml,385785,9225",ISANA,Lift Triple,30 ml,"23,99 zł","serum z peptydami , "
"/Produkt/Serum/ME-serum-do-twarzy-niacynamid-10-i-cynk-15-30-ml,370197,9225",ME+,@NO_NAME@,30 ml,"27,99 zł","serum do twarzy, niacynamid 10% i cynk 1,5%, "
"/Produkt/Serum/Isana-Hyaluron-Intense-koncentrat-liftingujacy-ampulki-14-ml,402885,9225",ISANA,Hyaluron Intense,14 ml,"23,99 zł","koncentrat liftingujący, ampułki , "
"/Produkt/Serum/Isana-Vitamin-Booster-ampulki-z-retinolem-witamina-C-i-witamina-E-7x2-ml,317776,9225",ISANA,Vitamin Booster,7x2 ml,"31,99 zł","ampułki z retinolem witaminą C i witaminą E, "
"/Produkt/Serum/Isana-ampulki-z-prowitamina-B5-7x2-ml,377724,9225",ISANA,@NO_NAME@,7x2 ml,"23,99 zł","ampułki z prowitaminą B5, "
"/Produkt/Serum/Isana-serum-perlowe-Gold-Brilliance-30-ml,385735,9225",ISANA,@NO_NAME@,30 ml,"31,99 zł","serum perłowe Gold Brilliance, "
"/Produkt/Serum/Isana-Q10-ampulki-koncentrat-przeciwzmarszczkowy-72-ml,188189,9225",ISANA,Q10,7×2 ml,"23,99 zł","ampułki, koncentrat przeciwzmarszczkowy, "
"/Produkt/Serum/Isana-Q10-przeciwzmarszczkowe-kapsulki-pielegnacyjne-z-kompleksem-anti-age-7-szt,194846,9225",ISANA,Q10,7 szt.,"9,49 zł","przeciwzmarszczkowe kapsułki pielęgnacyjne z kompleksem anti-age, "
"/Produkt/Serum/Isana-Night-Beauty-kapsulki-z-retinolem-do-twarzy-1-szt,393647,9225",ISANA,Night &amp; Beauty,1 szt.,"9,49 zł","kapsułki z retinolem do twarzy, "
"/Produkt/Serum/Isana-Vitamin-C-serum-do-twarzy-w-ampulkach-3x2-ml,385743,9225",ISANA,Vitamin C,3x2 ml,"9,49 zł","serum do twarzy w ampułkach , "
"/Produkt/Serum/Isana-Vitamin-C-serum-do-twarzy-30-ml,385745,9225",ISANA,Vitamin C,30 ml,"31,99 zł","serum do twarzy , "
"/Produkt/Serum/Isana-Vital-serum-do-twarzy-skora-dojrzala-30-ml,385742,9225",ISANA,Vital,30 ml,"14,49 zł","serum do twarzy skóra dojrzała, "
"/Produkt/Serum/Isana-Vital-serum-skora-dojrzala-30-ml,385740,9225",ISANA,Vital,30 ml,"14,49 zł","serum, skóra dojrzała , "
"/Produkt/Serum/Alterra-booster-hialuronowy-15-ml,340617,9225",ALTERRA,@NO_NAME@,15 ml,"18,99 zł","booster hialuronowy, "
"/Produkt/Serum/Alterra-ampulki-hialuronowe-7x1ml,366559,9225",ALTERRA,@NO_NAME@,7x1ml,"18,99 zł","ampułki hialuronowe, "
"/Produkt/Serum/Tolpa-pre-age-krem-pod-oczy-redukujacy-oznaki-zmeczenia-10-ml,401436,9225",TOŁPA,pre age,10 ml,"32,99 zł","krem pod oczy redukujący oznaki zmęczenia, "
"/Produkt/Serum/Tolpa-pre-age-nawilzajace-serum-rozswietlajace-do-twarzy-20-ml,395576,9225",TOŁPA,pre age,20 ml,"37,99 zł","nawilżające serum rozświetlające do twarzy, "
"/Produkt/Serum/Eveline-Cosmetics-bioHyaluron-3-x-Retinol-System-multinaprawcze-serum-przeciwzmarszczkowe-na-noc-18,379118,9225",EVELINE COSMETICS,bioHyaluron 3 x Retinol System,18 ml,"29,99 zł","multinaprawcze serum przeciwzmarszczkowe na noc, "
"/Produkt/Serum/Tolpa-pre-age-matujace-serum-normalizujace-zwezajace-pory-20-ml,401437,9225",TOŁPA,pre age,20 ml,"37,99 zł","matujące serum normalizujące zwężające pory, "
"/Produkt/Serum/Eveline-Cosmetics-bioHyaluron-3-x-Retinol-System-multinawilzajace-serum-wypelniajace-zmarszczki-na-,379117,9225",EVELINE COSMETICS,bioHyaluron 3 x Retinol System,18 ml,"29,99 zł","multinawilżające serum wypełniające zmarszczki na dzień i na noc, "
"/Produkt/Serum/Perfecta-Multi-kolagen-Retinol-booster-na-dzien-i-na-noc-15-ml,285237,9225",PERFECTA,Multi-kolagen Retinol,15 ml,"31,99 zł","booster na dzień i na noc, "
"/Produkt/Serum/Bielenda-Diamentowe-Lipidy-serum-lipidowe-przeciwzmarszczkowe-30-ml,409365,9225",BIELENDA,Diamentowe Lipidy,30 ml,"29,99 zł","serum lipidowe przeciwzmarszczkowe, "
"/Produkt/Serum/Jus-Mionsh-T_Roscca-przeciwzmarszczkowe-odbudowujace-serum-50-70-30-ml,408524,9225",JUS &amp; MIONSH,T_Roscca,30 ml,"27,99 zł","przeciwzmarszczkowe odbudowujące serum 50-70+, "
"/Produkt/Serum/Lirene-C-E-Vitamin-Energy-skoncentrowane-serum-do-twarzy-na-dzien-i-na-noc-30-ml,381437,9225",LIRENE,C+E Vitamin Energy,30 ml,"29,99 zł","skoncentrowane serum do twarzy na dzień i na noc, "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-ekspresowe-serum-redukujace-zmarszczki-pod-oczy-na-czol,280706,9225",EVELINE COSMETICS,Face Therapy Professional,15 ml,"21,99 zł","ekspresowe serum redukujące zmarszczki pod oczy, na czoło i okolice ust, "
"/Produkt/Serum/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowe-serum-aktywnie-rewitalizujace-na-dzien-i-na-noc-30-ml,372615,9225",BIELENDA,Royal Bee Elixir,30 ml,"29,99 zł","przeciwzmarszczkowe serum aktywnie rewitalizujące na dzień i na noc, "
"/Produkt/Serum/Bielenda-Kuracja-Mlodosci-odbudowujace-serum-przeciwzmarszczkowe-na-dzien-i-na-noc-40-30-ml,288097,9225",BIELENDA,Kuracja Młodości,30 ml,"32,99 zł","odbudowujące serum przeciwzmarszczkowe, na dzień i na noc, 40+, "
"/Produkt/Serum/AA-My-Beauty-Power-wygladzajace-serum-booster-niacynamid-10-15-ml,372709,9225",AA,My Beauty Power,15 ml,"25,49 zł","wygładzające serum-booster niacynamid 10%, "
"/Produkt/Serum/Biotinne-Care-Slow-Age-Skin-aktywne-serum-na-noc-upiekszajaco-upiekszajaco-wygladzajace-30-ml,408527,9225",BIOTINNE,Care,30 ml,"24,99 zł","aktywne serum na noc, upiększająco- upiększająco-wygładzające, "
"/Produkt/Serum/Biotinne-Care-Slow-Age-Skin-skoncentrowane-serum-ujedrniajace-pod-oczy-30-ml,408528,9225",BIOTINNE,Care,30 ml,"24,99 zł","skoncentrowane serum ujędrniające pod oczy, "
"/Produkt/Serum/Neutrogena-Bright-Boost-rozswietlajace-serum-30-ml,370546,9225",NEUTROGENA,Bright Boost,30 ml,"62,99 zł","rozświetlające serum, "
"/Produkt/Serum/Neutrogena-Hydro-Boost-nawadniajacy-booster-serum-do-twarzy-30-ml,284458,9225",NEUTROGENA,Hydro Boost,30 ml,"56,99 zł","nawadniający booster serum do twarzy, "
"/Produkt/Serum/Miya-Cosmetics-myPOWERelixir-naturalne-serum-rewitalizujace-15-ml,290044,9225",MIYA COSMETICS,myPOWERelixir,15 ml,"43,99 zł","naturalne serum rewitalizujące, "
"/Produkt/Serum/Miya-Cosmetics-BEAUTYlab-serum-nawilzajace-do-twarzy-potrojny-kwas-hialuronowy-2-30-ml,370337,9225",MIYA COSMETICS,BEAUTY.lab,30 ml,"49,99 zł","serum nawilżające do twarzy potrójny kwas hialuronowy 2%, "
"/Produkt/Serum/Miya-Cosmetics-BEAUTYlab-serum-z-witamina-C-na-przebarwienia-30-ml,343724,9225",MIYA COSMETICS,BEAUTY.lab,30 ml,"49,99 zł","serum z witaminą C na przebarwienia, "
"/Produkt/Serum/Miya-Cosmetics-BEAUTYlab-serum-wygladzajace-z-kompeksem-anti-aging-5-30-ml,343791,9225",MIYA COSMETICS,BEAUTY.lab,30 ml,"49,99 zł","serum wygładzające z kompeksem anti-aging 5%, "
"/Produkt/Serum/Miya-Cosmetics-BEAUTYlab-serum-z-prebiotykami-do-skory-problematycznej-30-ml,343337,9225",MIYA COSMETICS,BEAUTY.lab,30 ml,"49,99 zł","serum z prebiotykami do skóry problematycznej, "
"/Produkt/Serum/Nivea-Hydra-Skin-Effect-esencja-serum-do-twarzy-gleboko-nawadniajace-100-ml,373961,9225",NIVEA,Hydra Skin Effect,100 ml,"53,99 zł","esencja-serum do twarzy głęboko nawadniające, "
"/Produkt/Serum/Onlybio-Face-in-Balance-adaptogenne-serum-do-twarzy-zwezajace-pory-30-ml,368096,9225",ONLYBIO,Face in Balance,30 ml,"37,99 zł","adaptogenne serum do twarzy zwężające pory, "
"/Produkt/Serum/Onlybio-Face-in-Balance-adaptogenne-serum-do-twarzy-nawilzajace-30-ml,368097,9225",ONLYBIO,Face in Balance,30 ml,"37,99 zł","adaptogenne serum do twarzy nawilżające , "
"/Produkt/Serum/Onlybio-Face-in-Balance-adaptogenne-serum-do-twarzy-rozswietlajace-30-ml,368098,9225",ONLYBIO,Face in Balance,30 ml,"37,99 zł","adaptogenne serum do twarzy rozświetlające, "
"/Produkt/Serum/Fluff-Superfood-serum-dwufazowe-do-twarzy-avocado-aloe-40-ml,378787,9225",FLUFF,Superfood,40 ml,"36,99 zł","serum dwufazowe do twarzy, avocado + aloe, "
"/Produkt/Serum/Fluff-Superfood-serum-dwufazowe-do-twarzy-turmeric-vitC-40-ml,378789,9225",FLUFF,Superfood,40 ml,"36,99 zł","serum dwufazowe do twarzy, turmeric + vit.C, "
"/Produkt/Serum/Fluff-Superfood-mleko-do-twarzy-Liczi-40-ml,357908,9225",FLUFF,Superfood,40 ml,"35,99 zł","mleko do twarzy Liczi, "
"/Produkt/Serum/Fluff-Superfood-mleko-do-twarzy-Malina-40-ml,357910,9225",FLUFF,Superfood,40 ml,"35,99 zł","mleko do twarzy Malina, "
"/Produkt/Serum/Fluff-Superfood-mleko-do-twarzy-Zielona-Herbata-40-ml,357911,9225",FLUFF,Superfood,40 ml,"35,99 zł","mleko do twarzy Zielona Herbata, "
"/Produkt/Serum/Numee-intensywnie-nawilzajace-serum-30-ml,393358,9225",NUMEE,@NO_NAME@,30 ml,"29,99 zł","intensywnie nawilżające serum, "
"/Produkt/Serum/Numee-multi-benefit-serum-30-ml,393359,9225",NUMEE,@NO_NAME@,30 ml,"29,99 zł","multi- benefit serum, "
"/Produkt/Serum/Numee-serum-zluszczajace-do-twarzy-30-ml,393360,9225",NUMEE,@NO_NAME@,30 ml,"29,99 zł","serum złuszczające do twarzy, "
"/Produkt/Serum/Numee-oczyszczajacy-peeling-30-ml,393362,9225",NUMEE,@NO_NAME@,30 ml,"39,99 zł","oczyszczający peeling, "
"/Produkt/Serum/Numee-serum-rozjasniajace-30-ml,393364,9225",NUMEE,@NO_NAME@,30 ml,"39,99 zł","serum rozjaśniające , "
"/Produkt/Serum/Bielenda-Skin-Clinic-Professional-Kolagen-serum-regenerujaco-przeciwzmarszczkowe-na-dzien-i-noc-30,409355,9225",BIELENDA,Skin Clinic Professional,30 ml,"32,99 zł","Kolagen, serum, regenerująco-przeciwzmarszczkowe na dzień i noc, "
"/Produkt/Serum/Bielenda-Skin-Clinic-Professional-kwas-Hialuronowy-serum-nawilzajaco-kojace-na-dzien-i-noc-30-ml,409357,9225",BIELENDA,Skin Clinic Professional,30 ml,"32,99 zł","kwas Hialuronowy, serum, nawilżająco-kojące na dzień i noc, "
"/Produkt/Serum/Bielenda-Skin-Clinic-Professional-Niacynamid-serum-normalizujaco-wygladzajace-na-dzien-i-noc-30-ml,409356,9225",BIELENDA,Skin Clinic Professional,30 ml,"32,99 zł","Niacynamid, serum, normalizująco-wygładzajace na dzień i noc, "
"/Produkt/Serum/Bielenda-Skin-Clinic-Professional-Retinol-serum-liftingujaco-restrukturyzujace-30-ml,409353,9225",BIELENDA,Skin Clinic Professional,30 ml,"32,99 zł","Retinol serum, liftingująco -  restrukturyzujące, na noc , "
"/Produkt/Serum/Bielenda-Skin-Clinic-Professional-Witamina-C-serum-rozswietlajaco-odzywcze-na-dzien-30-ml,409354,9225",BIELENDA,Skin Clinic Professional,30 ml,"32,99 zł","Witamina C, serum, rozświetlająco-odżywcze na dzień, "
"/Produkt/Serum/Tolpa-authentic-mgielka-booster-do-twarzy-na-dzien-i-na-noc-nawilzona-skora-75-ml,378965,9225",TOŁPA,authentic,75 ml,"32,99 zł","mgiełka-booster do twarzy na dzień i na noc, nawilżona skóra, "
"/Produkt/Serum/Tolpa-authentic-serum-do-twarzy-zwezajace-pory-20-ml,378966,9225",TOŁPA,authentic,20 ml,"32,99 zł","serum do twarzy zwężające pory, "
"/Produkt/Serum/FaceBoom-korygujaco-rozjasniajace-serum-do-twarzy-cera-mieszana-tlusta-30-ml,357402,9225",FACEBOOM,@NO_NAME@,30 ml,"31,99 zł","korygująco-rozjaśniające serum do twarzy cera mieszana/tłusta, "
"/Produkt/Serum/Garnier-serum-na-przebarwienia-z-witamina-C-30-ml,390741,9225",GARNIER,@NO_NAME@,30 ml,"44,99 zł","serum na przebarwienia z witaminą C, "
"/Produkt/Serum/Garnier-Hyaluronic-Aloe-serum-nawilzajace-do-twarzy-30-ml,390740,9225",GARNIER,Hyaluronic Aloe,30 ml,"44,99 zł","serum nawilżające do twarzy, "
"/Produkt/Serum/Mixa-Hyalurogel-serum-dla-skory-wrazliwej-30-ml,379184,9225",MIXA,Hyalurogel,30 ml,"46,99 zł","serum dla skóry wrażliwej, "
"/Produkt/Serum/Tolpa-pure-trends-healthy-look-rozswietlajace-multi-serum-korektor-do-twarzy-20-ml,396284,9225",TOŁPA,pure trends healthy look,20 ml,"23,99 zł","rozświetlające multi serum-korektor do twarzy, "
"/Produkt/Serum/Soraya-Chlorofil-krople-normalizujace-nawilzajace-chlorofil-mirt-cytrynowy-niacynamid-30-ml,409852,9225",SORAYA,Chlorofil,30 ml,"19,99 zł","krople normalizujące, nawilżające chlorofil+mirt cytrynowy+niacynamid, "
"/Produkt/Serum/Isana-Hyaluron-Intense-serum-do-twarzy-30-ml,385761,9225",ISANA,Hyaluron Intense,30 ml,"20,99 zł","serum do twarzy , "
"/Produkt/Serum/Isana-Butterfly-serum-rozswietlajace-30-ml,393642,9225",ISANA,Butterfly,30 ml,"19,99 zł","serum  rozświetlajace , "
"/Produkt/Serum/Isana-serum-z-olejkiem-pielegnujacym-arbuz-30-ml,393643,9225",ISANA,@NO_NAME@,30 ml,"19,99 zł","serum z olejkiem pielęgnującym, arbuz, "
"/Produkt/Serum/Isana-serum-nawilzajace-do-twarzy-marakuja-30-ml,393644,9225",ISANA,@NO_NAME@,30 ml,"19,99 zł","serum nawilżające do twarzy marakuja, "
